link_id,from_node_id,to_node_id,direction,observed_count,estimated_count,residual,two_way
359,302,62,forward,39.5,0.0,39.5,1
359,62,302,reverse,39.5,0.0,39.5,1
367,307,81,forward,11273.0,10745.77,527.23,0
369,308,68,forward,44.0,0.0,44.0,1
369,68,308,reverse,44.0,0.0,44.0,1
371,310,178,forward,1008.0,1440.51,-432.51,0
372,310,78,forward,674.5,777.13,-102.63,1
372,78,310,reverse,674.5,777.13,-102.63,1
380,319,89,forward,3932.0,3884.3,47.7,1
380,89,319,reverse,3932.0,3884.3,47.7,1
383,321,102,forward,8340.0,8731.13,-391.13,0
392,328,100,forward,343.0,641.3,-298.3,0
397,340,246,forward,10036.0,0.0,10036.0,0
399,7,72,forward,11501.0,10745.77,755.23,0
