fid,node_id,is_zone,zone_type,is_count,station_id,Cluster_1,layer,path
32,32,1,external,1,504-1,2,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
33,33,1,external,0,,,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
34,34,1,external,1,502-1,1,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
35,35,1,external,1,112-1,3,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
36,36,1,external,0,,5,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
37,37,1,external,0,,8,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
38,38,0,,1,"760",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
39,39,0,,1,"4422",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
40,40,0,,1,"761",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
41,41,0,,1,"820",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
42,42,0,,1,821-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
43,43,0,,1,"821",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
44,44,0,,1,503-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
45,45,0,,1,"564",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
