fid,node_id,is_zone,zone_type,is_count,station_id,Cluster_1,layer,path
163,163,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
164,164,1,external,1,60-1,4,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
165,165,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
166,166,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
167,167,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
168,168,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
169,169,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
170,170,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
171,171,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
172,172,1,external,0,,8,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
173,173,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
174,174,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
176,176,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
177,177,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
178,178,1,external,0,,8,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
180,180,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
181,181,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
182,182,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
183,183,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
184,184,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
185,185,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
186,186,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
187,187,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
188,188,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
189,189,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
190,190,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
191,191,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
192,192,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
193,193,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
195,195,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
196,196,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
197,197,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
198,198,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
199,199,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
200,200,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
201,201,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
202,202,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
203,203,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
204,204,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
205,205,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
206,206,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
207,207,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
208,208,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
209,209,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
210,210,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
211,211,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
212,212,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
213,213,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
214,214,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
215,215,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
216,216,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
217,217,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
218,218,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
219,219,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
220,220,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
221,221,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
222,222,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
223,223,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
224,224,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
225,225,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
226,226,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
227,227,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
228,228,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
229,229,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
230,230,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
231,231,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
232,232,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
233,233,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
234,234,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
235,235,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
237,237,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
238,238,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
240,240,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
241,241,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
242,242,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
243,243,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
244,244,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
245,245,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
246,246,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
247,247,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
248,248,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
249,249,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
250,250,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
251,251,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
252,252,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
253,253,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
254,254,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
255,255,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
256,256,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
257,257,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
258,258,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
259,259,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
260,260,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
261,261,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
262,262,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
263,263,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
264,264,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
265,265,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
266,266,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
267,267,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
268,268,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
269,269,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
270,270,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
271,271,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
272,272,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
274,274,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
275,275,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
276,276,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
277,277,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
279,279,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
280,280,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
281,281,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
282,282,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
283,283,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
284,284,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
285,285,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
287,287,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
288,288,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
289,289,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
290,290,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
292,292,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
294,294,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
295,295,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
296,296,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
297,297,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
298,298,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
299,299,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
300,300,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
301,301,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
302,302,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
303,303,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
304,304,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
305,305,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
306,306,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
307,307,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
308,308,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
309,309,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
310,310,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
311,311,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
312,312,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
313,313,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
317,317,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
318,318,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
319,319,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
320,320,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
321,321,1,external,0,,6,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
322,322,1,external,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
323,323,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
324,324,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
325,325,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
326,326,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
327,327,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
328,328,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
329,329,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
330,330,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
331,331,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
332,332,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
333,333,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
334,334,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
335,335,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
336,336,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
337,337,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
338,338,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
339,339,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
340,340,0,,1,101-1,,,
341,341,0,,0,,,,
343,7,1,external,0,,8,,
